Sex,Shiftee,ComProg_1_1st,ComProg_1_2nd,ComProg_2_1st,ComProg_2_2nd,Intro_to_Computing_1st,Intro_to_Computing_2nd,Info_Management_1st,Info_Management_2nd,Operating_System_1st,Operating_System_2nd,Elective_1_1st,Elective_1_2nd,Elective_2_1st,Elective_2_2nd,Elective_3_1st,Elective_3_2nd,Data_Structures_1st,Data_Structures_2nd,Application_Dev_and_Emerging_Tech_1st,Application_Dev_and_Emerging_Tech_2nd,Human_and_Computer_Integration_1st,Human_and_Computer_Integration_2nd,Practicum_Industry_Immersion_1st,Practicum_Industry_Immersion_2nd,Digital_Design_1st,Digital_Design_2nd,Architecture_and_Organization_1st,Architecture_and_Organization_2nd,Programming_Languages_1st,Programming_Languages_2nd,Modelling_and_Simulation_1st,Modelling_and_Simulation_2nd,Information_Assurance_and_Security_1st,Information_Assurance_and_Security_1_2nd,Software_Engineering_1_1st,Software_Engineering_1_2nd,Software_Engineering_2_1st,Software_Engineering_2_2nd,Network_Management_1st,Network_Management_2nd,Advance_Database_1st,Advance_Database_2nd,WebProg_1st,WebProg_2nd,Suggested_job_role
Male,0.0,2.0,0,1.75,0.0,1.5,0.0,1.75,0.0,1.25,0,1.5,0.0,1.0,0.0,1.0,0,2.0,0.0,0.0,0,1.5,0.0,1.25,0,1.0,0,1.5,0,1.5,0.0,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,1.25,,Software Engineer / Programmer
Female,0.0,2.75,0,2.75,0.0,1.5,0.0,0.0,0.0,3.0,0,2.25,0.0,2.0,0.0,1.75,0,1.5,0.0,0.0,0,3.0,0.0,1.5,0,0.0,0,1.75,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,0.0,0.0,0,2.5,,Software Engineer / Programmer
Male,0.0,1.75,0,2.0,0.0,1.75,0.0,2.75,0.0,0.0,0,2.25,0.0,2.0,0.0,1.75,0,0.0,0.0,1.25,0,1.5,0.0,1.75,0,0.0,0,0.0,0,0.0,0.0,0.0,0,2.25,0,0.0,0,0.0,0,0.0,0.0,2.5,0,2.0,,Software Engineer / Programmer
Male,0.0,2.75,0,1.75,0.0,2.25,0.0,3.0,0.0,2.25,0,1.5,0.0,1.0,0.0,1.5,0,1.75,0.0,1.5,0,2.25,0.0,1.25,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1.25,0,2.25,,Software Engineer / Programmer
Male,0.0,1.75,0,2.75,0.0,2.0,0.0,3.0,0.0,2.0,0,3.0,0.0,2.0,0.0,2.0,0,1.5,0.0,1.25,0,2.25,0.0,1.25,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1.75,0,2.5,,Software Engineer / Programmer
Female,0.0,1.25,0,2.25,0.0,1.5,0.0,1.75,0.0,1.25,0,1.5,0.0,1.0,0.0,1.5,0,1.25,0.0,1.75,0,1.5,0.0,1.75,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1.5,0,1.25,,Software Engineer / Programmer
Male,0.0,2.5,0,2.0,0.0,2.25,0.0,2.5,0.0,1.75,0,1.75,0.0,2.0,0.0,1.5,0,2.25,0.0,1.25,0,2.0,0.0,1.25,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1.5,0,2.0,,Technical Support Specialist
Female,0.0,1.75,0,1.75,0.0,2.0,0.0,0.0,0.0,1.75,0,2.75,0.0,2.0,0.0,1.25,0,2.0,0.0,0.0,0,3.0,0.0,1.75,0,0.0,0,2.25,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,0.0,0.0,0,0.0,,Software Engineer / Programmer
Female,0.0,3.0,0,3.0,0.0,2.25,0.0,2.25,0.0,2.75,0,2.0,0.0,2.0,0.0,1.25,0,2.5,0.0,0.0,0,2.5,0.0,2.5,0,0.0,0,3.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,2.5,0.0,0.0,0,2.25,,Software Engineer / Programmer
Female,0.0,2.0,0,2.0,0.0,2.0,0.0,3.0,0.0,2.5,0,2.25,0.0,1.5,0.0,2.5,0,2.0,0.0,2.0,0,2.75,0.0,1.75,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,3.0,0,2.5,,Technical Support Specialist
Male,1.0,2.0,0,2.0,0.0,1.75,0.0,2.0,0.0,2.5,0,1.75,0.0,2.0,0.0,1.25,0,2.0,0.0,1.75,0,2.25,0.0,1.0,0,1.25,0,2.0,0,1.5,0.0,1.75,0,1.5,0,2.0,0,1.75,0,1.5,0.0,1.0,0,1.5,,Software Engineer / Programmer
Male,0.0,1.25,0,1.5,0.0,1.25,0.0,1.25,0.0,1.75,0,1.25,0.0,1.0,0.0,1.25,0,1.25,0.0,1.25,0,1.75,0.0,1.0,0,1.25,0,1.5,0,1.0,0.0,1.5,0,1.5,0,2.0,0,1.5,0,0.0,0.0,1.0,0,1.5,,Academician
Male,0.0,2.25,0,1.5,0.0,,0.0,2.0,0.0,1.5,0,1.5,0.0,1.75,0.0,1.25,0,2.0,0.0,1.75,0,2.25,0.0,1.25,0,1.5,0,2.0,0,1.25,0.0,2.0,0,2.0,0,2.0,0,2.0,0,0.0,0.0,1.25,0,1.75,,Software Engineer / Programmer
Female,0.0,2.0,0,2.5,0.0,1.25,0.0,1.75,0.0,2.5,0,,0.0,0.0,0.0,0.0,0,3.0,0.0,0.0,0,2.75,0.0,1.25,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,2.5,0.0,0.0,0,1.75,,Administrative Assistant
Male,0.0,2.0,0,2.0,0.0,1.75,0.0,2.0,0.0,1.75,0,2.0,0.0,1.75,0.0,1.75,0,2.0,0.0,0.0,0,3.0,0.0,1.25,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,2.5,0.0,0.0,0,1.75,,Software Engineer / Programmer
Female,0.0,2.75,0,3.0,0.0,,0.0,2.25,0.0,2.0,0,2.5,0.0,2.5,0.0,3.0,0,3.0,0.0,0.0,0,3.0,0.0,3.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,2.0,,Technical Support Specialist
Female,0.0,3.0,0,1.75,0.0,3.0,0.0,2.5,0.0,2.25,0,2.0,0.0,2.25,0.0,1.5,0,2.75,0.0,1.5,0,2.25,0.0,1.75,0,0.0,0,0.0,0,0.0,0.0,0.0,0,1.5,0,0.0,0,0.0,0,0.0,0.0,3.0,0,2.25,,Technical Support Specialist
Male,1.0,3.0,0,5.0,0.0,2.75,0.0,2.5,0.0,0.0,0,2.5,0.0,2.75,0.0,0.0,0,2.25,0.0,1.75,0,1.75,0.0,1.25,0,1.75,0,2.75,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,2.5,0,2.25,,Technical Support Specialist
Female,1.0,3.0,0,2.0,0.0,2.25,0.0,0.0,0.0,2.5,0,2.25,0.0,2.0,0.0,1.25,0,1.75,0.0,0.0,0,3.0,0.0,1.5,0,0.0,0,2.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,1.75,0.0,0.0,0,2.25,,Administrative Assistant
Male,0.0,1.0,0,1.25,0.0,1.5,0.0,1.5,0.0,1.5,0,1.25,0.0,1.5,0.0,1.0,0,1.25,0.0,0.0,0,1.75,0.0,1.25,0,0.0,0,1.25,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,1.75,0.0,0.0,0,1.25,,Software Engineer / Programmer
Male,0.0,1.5,0,2.0,0.0,1.0,0.0,1.25,0.0,1.0,0,1.5,0.0,2.0,0.0,1.75,0,1.75,0.0,0.0,0,1.25,0.0,1.25,0,1.0,0,1.25,0,1.5,0.0,1.75,0,0.0,0,1.5,0,1.0,0,0.0,0.0,0.0,0,1.25,,Software Engineer / Programmer
Female,0.0,2.0,0,2.25,0.0,2.25,0.0,1.75,0.0,1.75,0,2.0,0.0,1.75,0.0,2.0,0,2.75,0.0,0.0,0,3.0,0.0,1.75,0,0.0,0,1.25,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,1.75,0.0,0.0,0,1.75,,Technical Support Specialist
Female,0.0,1.75,0,2.0,0.0,2.25,0.0,2.5,0.0,2.25,0,5.0,1.75,2.0,0.0,1.25,0,1.5,0.0,0.0,0,2.75,0.0,2.5,0,2.5,0,1.75,0,1.75,0.0,2.25,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,1.75,,Academician
Male,1.0,1.75,0,1.75,0.0,2.25,0.0,1.75,0.0,2.25,0,2.5,0.0,2.0,0.0,3.0,0,3.0,0.0,1.5,0,3.0,0.0,3.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,1.5,0,2.75,,Software Engineer / Programmer
Female,1.0,2.75,0,3.0,0.0,1.5,0.0,5.0,0.0,3.0,0,2.25,0.0,2.0,0.0,1.0,0,2.75,0.0,0.0,0,2.5,0.0,1.5,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,0.0,0.0,0,2.0,,Administrative Assistant
Female,0.0,1.5,0,1.5,0.0,1.25,0.0,2.25,0.0,1.75,0,1.75,0.0,2.0,0.0,1.5,0,1.25,0.0,1.25,0,2.0,0.0,1.25,0,0.0,0,0.0,0,0.0,0.0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,0.0,2.5,0,2.0,,Technical Support Specialist
